# hp_idx count g_sky r_sky z_sky ra dec
87 nan nan nan nan 45.0 84.88153790222776
88 nan nan nan nan 57.857142857142854 84.88153790222776
89 nan nan nan nan 70.71428571428571 84.88153790222776
90 nan nan nan nan 83.57142857142858 84.88153790222776
91 nan nan nan nan 96.42857142857142 84.88153790222776
92 nan nan nan nan 109.28571428571429 84.88153790222776
93 nan nan nan nan 122.14285714285714 84.88153790222776
94 nan nan nan nan 135.0 84.88153790222776
95 nan nan nan nan 147.85714285714286 84.88153790222776
96 nan nan nan nan 160.71428571428572 84.88153790222776
97 nan nan nan nan 173.57142857142858 84.88153790222776
98 nan nan nan nan 186.42857142857142 84.88153790222776
99 nan nan nan nan 199.28571428571428 84.88153790222776
100 nan nan nan nan 212.14285714285714 84.88153790222776
101 nan nan nan nan 225.0 84.88153790222776
102 nan nan nan nan 237.85714285714286 84.88153790222776
103 nan nan nan nan 250.71428571428572 84.88153790222776
104 nan nan nan nan 263.57142857142856 84.88153790222776
105 nan nan nan nan 276.42857142857144 84.88153790222776
106 nan nan nan nan 289.2857142857143 84.88153790222776
107 nan nan nan nan 302.14285714285717 84.88153790222776
108 nan nan nan nan 315.0 84.88153790222776
109 nan nan nan nan 327.85714285714283 84.88153790222776
110 nan nan nan nan 340.7142857142857 84.88153790222776
111 nan nan nan nan 353.57142857142856 84.88153790222776
112 nan nan nan nan 5.625 84.14973293629666
113 nan nan nan nan 16.875 84.14973293629666
114 nan nan nan nan 28.125 84.14973293629666
115 nan nan nan nan 39.375 84.14973293629666
116 nan nan nan nan 50.625 84.14973293629666
117 nan nan nan nan 61.87499999999999 84.14973293629666
118 nan nan nan nan 73.125 84.14973293629666
119 nan nan nan nan 84.375 84.14973293629666
120 nan nan nan nan 95.625 84.14973293629666
121 nan nan nan nan 106.875 84.14973293629666
122 nan nan nan nan 118.125 84.14973293629666
123 nan nan nan nan 129.375 84.14973293629666
124 nan nan nan nan 140.625 84.14973293629666
125 nan nan nan nan 151.875 84.14973293629666
126 nan nan nan nan 163.125 84.14973293629666
127 nan nan nan nan 174.375 84.14973293629666
128 nan nan nan nan 185.625 84.14973293629666
129 nan nan nan nan 196.875 84.14973293629666
130 nan nan nan nan 208.125 84.14973293629666
131 nan nan nan nan 219.375 84.14973293629666
132 nan nan nan nan 230.62499999999997 84.14973293629666
133 nan nan nan nan 241.875 84.14973293629666
134 nan nan nan nan 253.125 84.14973293629666
135 nan nan nan nan 264.375 84.14973293629666
136 nan nan nan nan 275.625 84.14973293629666
137 nan nan nan nan 286.875 84.14973293629666
138 nan nan nan nan 298.125 84.14973293629666
139 nan nan nan nan 309.375 84.14973293629666
140 nan nan nan nan 320.625 84.14973293629666
141 nan nan nan nan 331.875 84.14973293629666
142 nan nan nan nan 343.125 84.14973293629666
143 nan nan nan nan 354.375 84.14973293629666
144 nan nan nan nan 5.0 83.41768908593822
145 nan nan nan nan 14.999999999999998 83.41768908593822
146 nan nan nan nan 25.0 83.41768908593822
147 nan nan nan nan 35.0 83.41768908593822
148 nan nan nan nan 45.0 83.41768908593822
149 nan nan nan nan 54.99999999999999 83.41768908593822
150 nan nan nan nan 65.0 83.41768908593822
151 nan nan nan nan 74.99999999999999 83.41768908593822
152 nan nan nan nan 85.0 83.41768908593822
